Latin;Status;Current;Mnemonic;Family;Authority;Notes
Abarema macradenia;Accepted;Abarema macradenia;pit1ma;Fabaceae-mimosoideae;(Pittier) Barneby & J.W. Grimes;Formerly Pithecellobium macradenium and appeared in 1996 paper under that old name. Pithecellobium was an enormously broad mix of of many taxa. Barnebey and Grimes (1996) did a detailed phylogeny of Ingeae, many of which (except Inga and Calliandra) were once Pithecellobium. The genus revisions do not alter species boundaries here. 
Acacia melanoceras;Obsolete;Vachellia melanoceras;acacme;Fabaceae-mimosoideae;Beurl.;See Acacia discussion with Vachellia melanoceras.
Acalypha diversifolia;Accepted;Acalypha diversifolia;acaldi;Euphorbiaceae;Jacq.;
Acalypha macrostachya;Accepted;Acalypha macrostachya;acalma;Euphorbiaceae;Jacq.;
Adelia triloba;Accepted;Adelia triloba;ade1tr;Euphorbiaceae;(Müll.Arg.) Hemsl.;
Aegiphila panamensis;Accepted;Aegiphila panamensis;aegipa;Lamiaceae;Moldenke;
Alchornea costaricensis;Accepted;Alchornea costaricensis;alchco;Euphorbiaceae;Pax & K.Hoffm.;
Alchornea latifolia;Accepted;Alchornea latifolia;alchla;Euphorbiaceae;Sw.;
Alibertia dwyeri;Accepted;Alibertia dwyeri;boropa;Rubiaceae;Delprete & C.H.Perss.;Formerly B. panamensis. Entire genus of Borojoa, with 3 species, collapsed into Alibertia, without any changes in species boundaries. The name dwyeri was necessary because there is another A. panamensis. There was a single sapling in this taxon since 1982 (died in 2015), but the name is not in Croat nor the 1996 paper. It must have been identified later?
Alibertia edulis;Accepted;Alibertia edulis;alibed;Rubiaceae;(Rich.) A.Rich. ex DC.;
Allophylus psilospermus;Accepted;Allophylus psilospermus;allops;Sapindaceae;Radlk.;
Alseis blackiana;Accepted;Alseis blackiana;alsebl;Rubiaceae;Hemsl.;
Amaioua corymbosa;Accepted;Amaioua corymbosa;amaico;Rubiaceae;Kunth;
Anacardium excelsum;Accepted;Anacardium excelsum;anacex;Anacardiaceae;(Bertero & Balb. ex Kunth) Skeels;
Anaxagorea panamensis;Accepted;Anaxagorea panamensis;anaxpa;Annonaceae;Standl.;
Andira inermis;Accepted;Andira inermis;andiin;Fabaceae-papilionoideae;(W. Wright) Kunth ex DC.;
Annona acuminata;Accepted;Annona acuminata;annoac;Annonaceae;Saff.;
Annona hayesii;Accepted;Annona hayesii;annoha;Annonaceae;Saff.;
Annona spraguei;Accepted;Annona spraguei;annosp;Annonaceae;Saff.;
Apeiba aspera;Obsolete;Apeiba membranacea;apeime;Malvaceae;Aubl.;Much confusion about identification of Apeiba glabra/membranacea/aspera. A. aspera is invalid. A. glabra is only Brazil and Guiana Shield. The BCI species is A. membrancea, but we mistakenly took this name from 2004 through 2015.
Apeiba hybrid;Accepted;Apeiba hybrid;apeihy;Malvaceae;;
Apeiba membranacea;Accepted;Apeiba membranacea;apeime;Malvaceae;Spruce ex Benth.;This is Croat's name and is the accepted name for a widespread Central and South American species. But A. membranacea has regularly been misidentified as A. aspera, leading us to use that incorrect name for a period. We used A. membranaceae correctly through the 1996 paper, but then the incorrect A. aspera in the 2004 paper. We have now restored the correct A. membranacea. 
Apeiba tibourbou;Accepted;Apeiba tibourbou;apeiti;Malvaceae;Aubl.;
Aphelandra sinclairiana;Accepted;Aphelandra sinclairiana;aphesi;Acanthaceae;Nees;
Appunia seibertii;Accepted;Appunia seibertii;appuse;Rubiaceae;Standl.;"Not in Croat but identified in 1982 census, and we used in the 1996 paper; now we have reverted to it as of 2017. Steyermark (1972) and Taylor and Steyermark (Flora of NG Shield) moved Appunia within a broad Morinda, but others, however, maintained Appunia separate. Later DNA phylogeny (Razafimandimbison 2009, 2011) shows Morinda to be polyphyletic. They decided to restore Appunia, and Tropicos follows this latest. "
Ardisia bartlettii;Accepted;Ardisia bartlettii;ardiba;Myrsinaceae;Lundell;
Ardisia fendleri;Obsolete;Ardisia standleyana;ardife;Myrsinaceae;Lundell;This taxon in Ardisia is in a state of confusion. Croat used this name, and we published it in both 1996 and 2004 papers. However, Pipoly reidentified one BCI specimen as A. standleyana in the 1980s, Fl. Nic. and Man CR use A. standleyana. However, Ricketson and Pipoly reverted most BCI specimens to A. fendleri since 2006. 
Ardisia guianensis;Accepted;Ardisia guianensis;ardigu;Myrsinaceae;(Aubl.) Mez;
Ardisia standleyana;Accepted;Ardisia standleyana;ardife;Myrsinaceae;P.H.Allen;This was formely A. fendleri, and appeared as that old name in 1996 and 2004 papers. We switched to A. standleyana subsequently. There is confusion, though, as Ricketson and Pipoly reverted most BCI specimens to A. fendleri after 2006. Moreover, A. copeyana appears on one BCI specimen, though it is otherwise only at high elevation. Must check Man. CR and Fl. Nic.
Aspidosperma cruenta;Obsolete;Aspidosperma desmanthum;aspicr;Apocynaceae;;This was Croat’s name. It is a misspelling of A. cruentum, and we repeated the error in 1996 paper but corrected in 2004 paper.
Aspidosperma cruentum;Obsolete;Aspidosperma desmanthum;aspicr;Apocynaceae;Woodson;This is the correct spelling of Croat’s name (he wrote A. cruenta), and we had it correct in 2004 paper. This became A. spruceanum for a time, then A. desmanthum, but returns to A. cruentum as of 2018.
Aspidosperma desmanthum;Accepted;Aspidosperma desmanthum;aspicr;Apocynaceae;;This genus is now in a state of confusion, largely because a PhD dissertation finished in 1999 (K. Potgieter), which makes many revisions, has not been published, so multiple names are still around. Potgieter advises that A. desmanthum should be used for the common BCI species. In the past, we used three other names: A. cruenta, A. cruentum, and A. spruceanum. The first is a misspelling, following Croat, and we published it in both the 1996 and 2004 papers. To put a cap on this, confusion goes full circle in 2018, with Morales restoring A. cruentum to Panama records, including BCI, contra Potgieter.
Aspidosperma spruceanum;Obsolete;Aspidosperma desmanthum;aspicr;Apocynaceae;Benth. ex Müll.Arg.;From as early as 1989, this name replaced A. cruentum for BCI specimens, mostly by Morales (see also Fl. Nic.). We started using it after 2004 in our database, but both 1996 and 2004 papers used the old misspelling, A. cruenta.
Astrocaryum standleyanum;Accepted;Astrocaryum standleyanum;ast1st;Arecaceae;L.H.Bailey;
Astronium graveolens;Accepted;Astronium graveolens;ast2gr;Anacardiaceae;Jacq.;
Attalea butyracea;Obsolete;Attalea rostrata;sch1zo;Arecaceae;(Mutis ex L.f.) Wess.Boer;"We originally called this Scheelea zonensis, following Croat, and used that name in the 1996 paper. Henderson subsumed Scheelea under Attalea, and also merged the C. America species (A. rostrata) with the S. American A. butyracea; we used the latter in the 2004 paper. Foster (pers. comm.) believes they are distinct in habitat, but otherwise similar. Garwood (2009) treats the BCI species as A. rostrata, but Tropicos treats all as butyracea"
Attalea rostrata;Accepted;Attalea rostrata;sch1zo;Arecaceae;Oerst.;Formerly Scheelea zonensis, and we published under that name in 1996 paper, then A. butyracea, which we used in 2004 paper. We are following Garwood, who used A. rostrata, the Central American form, distinct from S. American A. butyracea. Note that Tropicos still uses A. butyracea.
Bactris barronis;Accepted;Bactris barronis;bactba;Arecaceae;L.H.Bailey;
Bactris coloniata;Accepted;Bactris coloniata;bactc1;Arecaceae;L.H.Bailey;
Bactris coloradonis;Accepted;Bactris coloradonis;bactc2;Arecaceae;L.H.Bailey;
Bactris major;Accepted;Bactris major;bactma;Arecaceae;Jacq.;
Banara guianensis;Accepted;Banara guianensis;banagu;Salicaceae;Aubl.;Croat includes this taxon, but it did not appear in the 50-ha plot until the 1990 census, and it subsequently died out.
Beilschmiedia pendula;Obsolete;Beilschmiedia tovarensis;beilpe;Lauraceae;(Sw.) Hemsl.;Croat's identification, and the name we used for 30 years, including 1996 and 2004 paper. Reidentified as B. tovarensis in Nishida (1999) but we didn’t discover the change until later.
Beilschmiedia tovarensis;Accepted;Beilschmiedia tovarensis;beilpe;Lauraceae;(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida;We called this B. pendula for 30 years, and it appears under that name in 1996 and 2004 papers. But Nishida (1999) lists BCI specimens under B. tovarensis. He explains details of the differences at length, and they are subtle.
Bertiera guianensis;Accepted;Bertiera guianensis;bertgu;Rubiaceae;Aubl.;
Bombacopsis quinata;Obsolete;Pochota quinata;pochqu;Malvaceae;;This was Croat’s name and we used it at the outset. Bombacopis has been in use for 100 years, but it has been debated about whether it is a synonym of Pochota or later, Pachira. Now this is back to Pochota quinata.
Bombacopsis sessilis;Obsolete;Pachira sessilis;pochse;Malvaceae;;This was Croat’s name and we used it in 1982. Bombacopsis has been in use for 100 years, but it has been debated about whether it is a synonym of Pochota or later, Pachira. Now this is Pachira sessilis. See notes with Pachira quinata.
Borojoa panamensis;Obsolete;Alibertia dwyeri;boropa;Rubiaceae;Dwyer;Entire genus of Borojoa, with 3 species, collapsed into Alibertia, without any changes in species boundaries. This species has 1 tree in 50-ha plot, but it was not in 1996 paper. Croat does not include Borojoa.
Brosimum alicastrum;Accepted;Brosimum alicastrum;brosal;Moraceae;Sw.;
Brosimum guianense;Accepted;Brosimum guianense;brosgu;Moraceae;(Aubl.) Huber;Note misspelling in Appendix, but not main table, of 1996 paper.
Calophyllum longifolium;Accepted;Calophyllum longifolium;calolo;Clusiaceae;Willd.;
Capparidastrum frondosum;Accepted;Capparidastrum frondosum;cappfr;Capparaceae;(Jacq.) Cornejo & Iltis;Formerly Capparis frondosa. See notes under that name.
Capparis frondosa;Obsolete;Capparidastrum frondosum;cappfr;Capparaceae;Jacq.;This was Croat's name, and we used in 1996 and 2004 papers. Currently Capparidastrum frondosum. Hall (2008) gives a thorough explanation of phylogeny in Capparis. The old-world species are a separate clade, not close to American. So the American Capparis have been divided into 4 genera. See also Cornejo and Iltis (2008).
