sp	genus	species	family	grform	repsize	breedsys	maxht
ACACME	Acacia	melanoceras	Fabaceae:Mimos.	U	4	B	6
ACALDI	Acalypha	diversifolia	Euphorbiaceae	S	2	M	6
ACALMA	Acalypha	macrostachya	Euphorbiaceae	U	2	M	5
ADE1TR	Adelia	triloba	Euphorbiaceae	U	10	D	5
AEGIPA	Aegiphila	panamensis	Verbenaceae	M	4	B	15
ALCHCO	Alchornea	costaricensis	Euphorbiaceae	T	20	D	15
ALCHLA	Alchornea	latifolia	Euphorbiaceae	M	16	D	-1
ALIBED	Alibertia	edulis	Rubiaceae	U	4	D	6
ALLOPS	Allophylus	psilospermus	Sapindaceae	M	4	P	10
ALSEBL	Alseis	blackiana	Rubiaceae	T	20	B	15
AMAICO	Amaioua	corymbosa	Rubiaceae	U	10	D	15
ANACEX	Anacardium	excelsum	Anacardiaceae	T	60	B	37
ANAXPA	Anaxagorea	panamensis	Annonaceae	S	1	B	3
ANDIIN	Andira	inermis	Fabaceae:Papil.	T	20	B	10
ANNOAC	Annona	acuminata	Annonaceae	S	1	B	5
ANNOHA	Annona	hayesii	Annonaceae	U	4	B	4
ANNOSP	Annona	spraguei	Annonaceae	M	8	B	15
APEIHY	Apeiba	'hybrid'	Tiliaceae	T	30	B	-1
APEIME	Apeiba	aspera	Tiliaceae	T	30	B	30
APEITI	Apeiba	tibourbou	Tiliaceae	M	8	B	20
APHESI	Aphelandra	sinclairiana	Acanthaceae	S	2	B	4
APPUSE	Appunia	seibertii	Rubiaceae	S	2	B	-1
ARDIBA	Ardisia	bartlettii	Myrsinaceae	S	-1	B	4
ARDIFE	Ardisia	fendleri	Myrsinaceae	U	4	B	8
ARDIGU	Ardisia	guianensis	Myrsinaceae	S	2	B	-1
ASPICR	Aspidosperma	spruceanum	Apocynaceae	T	30	B	35
AST1ST	Astrocaryum	standleyanum	Arecaceae	M	8	M	15
AST2GR	Astronium	graveolens	Anacardiaceae	T	30	D	35
BACTBA	Bactris	barronis	Arecaceae	U	2	M	8
BACTC1	Bactris	coloniata	Arecaceae	S	2	M	4
BACTC2	Bactris	coloradonis	Arecaceae	U	2	M	8
BACTMA	Bactris	major	Arecaceae	U	2	M	10
BANAGU	Banara	guianensis	Flacourtiaceae	U	-1	B	6
BEILPE	Beilschmiedia	pendula	Lauraceae	T	30	B	40
BERTGU	Bertiera	guianensis	Rubiaceae	S	1	B	3
BROSAL	Brosimum	alicastrum	Moraceae	T	30	D	35
BROSGU	Brosimum	guianense	Moraceae	T	30	M	-1
CALOLO	Calophyllum	longifolium	Clusiaceae	T	30	P	35
CAPPFR	Capparis	frondosa	Capparaceae	S	1	B	5
CASEAC	Casearia	aculeata	Flacourtiaceae	U	5	B	5
CASEAR	Casearia	arborea	Flacourtiaceae	T	20	B	20
CASECO	Casearia	commersoniana	Flacourtiaceae	U	10	B	10
CASEGU	Casearia	guianensis	Flacourtiaceae	U	4	B	6
CASESY	Casearia	sylvestris	Flacourtiaceae	M	10	B	10
CASSEL	Cassipourea	elliptica	Rhizophoraceae	M	8	B	13
CAVAPL	Cavanillesia	platanifolia	Bombacaceae	T	50	B	40
CECRIN	Cecropia	insignis	Cecropiaceae	T	30	D	40
CECRLO	Cecropia	longipes	Cecropiaceae	M	-1	D	-1
CECROB	Cecropia	obtusifolia	Cecropiaceae	M	8	D	10
CEDROD	Cedrela	odorata	Meliaceae	T	30	M	40
CEIBPE	Ceiba	pentandra	Bombacaceae	T	60	B	40
CELTSC	Celtis	schippii	Ulmaceae	M	16	B	30
CESPMA	Cespedesia	spathulata	Ochnaceae	T	30	B	20
CESTME	Cestrum	megalophyllum	Solanaceae	S	1	B	8
CHA1TE	Chamaedorea	tepejilote	Arecaceae	S	2	D	5
CHA2SC	Chamguava	schippii	Myrtaceae	U	4	B	20
CHIMPA	Chimarrhis	parviflora	Rubiaceae	T	30	B	-1
CHR1EC	Chrysochlamys	eclipes	Clusiaceae	S	2	P	11
CHR2AR	Chrysophyllum	argenteum	Sapotaceae	T	30	B	20
CHR2CA	Chrysophyllum	cainito	Sapotaceae	T	30	B	20
CLIDDE	Clidemia	dentata	Melastomataceae	S	1	B	2
CLIDOC	Clidemia	octona	Melastomataceae	S	1	B	3
CLIDSE	Clidemia	septuplinervia	Melastomataceae	S	1	B	3
